Area,ISO3.Code,LAT,LON,markets,commodities,GatherMonth,Value.1993,Value.1993,Value.1994,Value.1995,Value.1996,Value.1997,Value.1998,Value.1999,Value.2000,Value.2001,Value.2002,Value.2003,Value.2004,Value.2005,Value.2006,Value.2007,Value.2008,Value.2009,Value.2010,Value.2011,Value.2012,Value.2013,Value.2014,Value.2015,Value.2016
Northern America,CAN,57.7487688035733,-101.569822125212,market,wheat,8,27234492,27234492,29255619,24886059,24860420,26338670,25871814,24644277,26433866,25161492,20579017,19388076,24493930,22299191,26714509,24004957,22280108,26499075,24689440,23971241,25688557,28326991,24233100,33005400,35529900
South America,ARG,-35.2201719959357,-65.149543390921,market,wheat,12,15647253,15647253,12890470,19089838,5973752,22073602,23354361,15620771,19198296,22128251,22860696,15707424,23296801,28396729,20097346,19941994,30714321,20484874,14687633,27194562,36952634,15534484,20903195,26747556,18969289
Central Asia,KAZ,48.1916620924959,67.2846086074656,market,wheat,9,13282255,13282255,11455930,13632171,13112161,15331496,14181158,15431933,17903632,16428955,19581056,22270090,20006208,20439769,23540850,23977146,22052030,23758440,25238995,23420408,25723899,24215104,24954943,24804594,27383850
Eastern Europe,UKR,48.9730179682021,31.3695330803563,market,wheat,7,38924725,38924725,47610980,49648506,40176480,41933258,46622598,45689168,36830876,44922953,52058999,38631970,43065596,49808199,45113770,39437703,54959872,58039309,50513348,49867761,52695958,59013604,68384937,67250431,63375394
Northern Europe,GBR,53.8833587148482,-2.65799297938563,market,wheat,7,21250421,21250421,22659726,22742780,24540678,26261740,25945017,24645485,26113567,24501965,24065043,26894837,25645281,26749418,25575001,25567225,27192970,27827944,29412671,27331382,26956712,24103446,35171109,36597630,25970334
Western Europe,FRA,46.6064633728632,2.33908864602935,market,wheat,8,55351080,55351080,53339308,57523201,55852899,55449635,58369545,60317586,64322220,63071893,60853697,58709147,59940053,66916978,68533322,59224346,68819989,68569339,66815086,66507358,59038493,67185552,72799343,80762011,51232837
Oceania,AUS,-25.5607640622395,134.376078573618,market,wheat,12,13663249,13663249,16368409,12258868,18579051,23910255,20123862,21760478,22963836,20793340,20660488,15546638,24956208,21128150,22734347,13686681,16159194,20791729,23540012,24009940,30420362,21950832,25633534,24285113,21947883
Russian Federation,RUS,61.6925647074082,99.2165267869251,market,wheat,8,41554242,41554242,34615389,32182573,34818411,34114619,36978033,30996953,34554924,47009115,45632362,39097993,45450328,47627502,44952521,48782076,63640781,61583341,41917837,48681020,45719640,47590797,60839382,61075799,78567679
India,IND,22.9250064074085,79.5937037632538,market,wheat,3,58210100,58210100,59840000,64767400,63097400,64350200,66345000,68287504,75368896,74680896,76766304,74760800,73096200,69652452,68216274,74810371,80570200,79179400,82353600,82744000,86166667,90362046,98351000,83612000,95641000
Pakistan,PAK,29.9734600255474,69.4139980631813,market,wheat,5,15144139,15144139,16895125,15740368,16789138,17492332,18056633,17604109,20290477,20469129,20540430,21376209,20722468,20310164,21831248,22302063,20489627,20282704,23014566,27363254,25158908,24879337,27035399,24290174,25897028
United States of America,USA,39.5015541259931,-99.0602406280213,market,wheat,8,67782685,67782685,64054401,64667913,64943095,57024630,62464214,61616290,62076922,56076725,53088871,58610910,63465598,59402945,54559754,61608378,60930945,50838284,55520049,62301431,60493150,63388942,59595120,61937540,68484507
China,CPR,36.6094323800447,103.865365256658,market,wheat,8,105215353,105215353,104190340,101290449,104727758,111492391,111399928,112060799,110889315,110837947,108917806,108839212,97910141,100907387,105780539,107959915,104751049,105193401,109077970,123137361,120692141,117926259,127262211,136327335,134038091

