Area,ISO3.Code,LAT,LON,Value.Feed.1993,Value.Feed.1994,Value.Feed.1995,Value.Feed.1996,Value.Feed.1997,Value.Feed.1998,Value.Feed.1999,Value.Feed.2000,Value.Feed.2001,Value.Feed.2002,Value.Feed.2003,Value.Feed.2004,Value.Feed.2005,Value.Feed.2006,Value.Feed.2007,Value.Feed.2008,Value.Feed.2009,Value.Feed.2010,Value.Feed.2011,Value.Feed.2012,Value.Feed.2013,Value.Feed.2014,Value.Feed.2015,Value.Feed.2016,Value.Feed.2017
Northern America,CAN,57.7487688035733,-101.569822125212,5584000,3977000,3974000,4398000,3588000,4161000,4268000,3447000,3342000,4066100,3442000,5095000,4152000,4150200,2199300,2196500,2628700,1724500,3337900,3410000,3731000,4207000,4402000,3491000,5971000
South America,BRA,-10.8067736434989,-53.0543400357671,935984,834836,747502,1308235,1087976,833116,553571,875713,595122,811249,511087,568454,464823,617031,416856,548230,814451,531464,919729,531423,992883,1247000,457000,1442000,1301000
Central Asia,UZB,41.7486026646522,63.2036395282317,2235442,1566363,1352004,1227995,821272,906948,1186456,2119153,2456835,3871623,4221453,4297313,5899133,6483912,6933988,6345583,7283049,6228893,7638225,6519994,6923716,5058000,6095000,6373000,6768000
Eastern Europe,POL,52.1482602193319,19.3110143084487,16206055,18602271,17068270,14093001,14740490,16661313,14614280,12822508,15601931,16498579,8591115,15080695,14521106,11133132,13294916,16367856,12564939,13841334,15627675,12425580,11996742,12605000,12693000,10099000,8909000
Northern Europe,GBR,53.8833587148482,-2.65799297938563,8709390,9894520,9605902,10325872,11372217,11448013,12303324,12300761,12569747,12583137,12799159,13037990,13865291,13126995,12943914,12435358,12835442,12956707,13133213,13208432,12117462,13666000,13647000,13463000,13983000
Western Europe,DEU,51.1337226904078,10.2884850927429,15813628,18148211,20908360,20456101,20088748,21982593,19931716,24251734,24912522,25044370,20956731,22887591,27330427,26497315,22653841,27439620,25438617,20618457,22316534,19755921,19997475,21124000,21875000,19780000,21175000
Oceania,NZL,-43.9858177329728,170.513011374997,1752386,1089674,1700500,980724,1480662,1731619,2056248,2128000,2316297,2866272,2743584,3262537,4004847,4724157,3740946,4406694,2232674,4077098,2773221,3461998,3523152,4031000,3666000,3900000,4660000
Russian Federation,RUS,61.6925647074082,99.2165267869251,21298710,9026322,6788053,10790160,10512420,11264340,8480451,10036850,18887600,9531608,5949566,15626620,11544040,10334700,7445302,24273590,17562170,3531007,6711180,3285294,8141776,9754000,10514000,12354000,17711000
India,IND,22.9250064074085,79.5937037632538,687000,718000,786000,745000,832000,796000,855000,916477,896187,921665,1047143,1097959,1184979,1282379,1334237,1450264,1616876,1815855,1911228,1897631,1870433,2136000,2663000,2055000,6008000
Pakistan,PAK,29.9734600255474,69.4139980631813,323000,304000,340000,338000,333000,374000,357000,422000,380000,365000,384000,390000,432000,425500,466000,419000,480660,466216,505000,469900,485000,481000,607000,433000,437000
United States of America,USA,39.5015541259931,-99.0602406280213,7395000,9375912,4183000,8371642,6817608,10649620,7846373,8164000,4953000,3157000,5524000,4953000,4354000,3186900,435500,6260000,4898700,3619728,4898000,9942956,6196219,3092000,4141000,5171000,1286000
