Area,ISO3.Code,LAT,LON,Value.Food.1993,Value.Food.1994,Value.Food.1995,Value.Food.1996,Value.Food.1997,Value.Food.1998,Value.Food.1999,Value.Food.2000,Value.Food.2001,Value.Food.2002,Value.Food.2003,Value.Food.2004,Value.Food.2005,Value.Food.2006,Value.Food.2007,Value.Food.2008,Value.Food.2009,Value.Food.2010,Value.Food.2011,Value.Food.2012,Value.Food.2013,Value.Food.2014,Value.Food.2015,Value.Food.2016,Value.Food.2017
Northern America,CAN,57.7487688035733,-101.569822125212,2167231,2508330,2458513,2635099,2667768,2807227,2750110,2727244,2745662,2731182,2743033,2818696,2830967,2857215,2912331,2901118,2898352,2892964,2728092,2995211,2992626,2718000,2793000,2936000,3069000
South America,BRA,-10.8067736434989,-53.0543400357671,16681083,17297536,18287107,17582078,17659713,18196741,18600798,18110107,19554768,19242235,20747733,20315231,20860073,20995082,21632567,21965990,22155400,22750565,22909961,22813206,23190511,23985000,23362000,24408000,24161000
Central Asia,UZB,41.7486026646522,63.2036395282317,8527605,8964244,9075116,9400238,9469146,8922038,9183089,8841523,8667158,8590113,8871453,8814811,8728554,8744400,8589315,8864756,8990384,9276047,9001970,8983322,9202618,9554000,9831000,9893000,10173000
Eastern Europe,POL,52.1482602193319,19.3110143084487,19476897,19232573,18894867,18503168,18881023,18219918,18383427,18345337,18289810,18432437,17818935,17819884,17981257,17282998,16851556,16560570,16476532,16548897,16388099,16291876,16210823,15152000,16324000,15969000,15691000
Northern Europe,GBR,53.8833587148482,-2.65799297938563,7707276,7602446,7859309,7974949,8407908,8577634,8777273,8799377,8756265,9197807,9268550,9156985,9234494,9290680,9227641,9443872,9462077,9548870,9415678,9476837,9651920,9777000,9942000,10067000,10119000
Western Europe,DEU,51.1337226904078,10.2884850927429,13837195,14185562,14434208,14729339,13500728,15053754,15013331,15074494,15866621,16397410,15992209,16138610,16684790,16863414,16717485,17264705,17248946,18093304,17941054,17612352,17756355,18211000,18347000,18488000,18645000
Oceania,NZL,-43.9858177329728,170.513011374997,1637075,1730127,1823919,1797932,1817437,1768448,1794771,1735686,1748657,1852323,1873717,1765006,1765561,1832422,1898303,2037743,2153738,2135086,2179143,2109797,2149303,2342000,2278000,2376000,2460000
Russian Federation,RUS,61.6925647074082,99.2165267869251,19221904,20115684,19850830,19303411,19631731,19466296,19183992,18859838,19424629,19439598,19124739,18876919,19230624,18988234,18884161,18733592,18590452,19042752,18680142,19177686,18710102,19149000,20421000,19447000,18836000
India,IND,22.9250064074085,79.5937037632538,53528171,54663095,58370414,56556837,60225805,62610266,63914088,68435329,65904576,66781235,64001624,64343903,62211282,66293142,69310825,71361243,69900492,72719310,71866699,70588768,75832546,78010000,77763000,80108000,82877000
Pakistan,PAK,29.9734600255474,69.4139980631813,15460532,16409302,15758690,16042235,17361579,17637909,17991814,18033177,16915983,16772835,17021693,17501400,17582048,18880656,17853485,18693562,19387517,19681242,20048026,20472625,20696472,21192000,20809000,21216000,21789000
United States of America,USA,39.5015541259931,-99.0602406280213,22638891,23094973,25661894,23749002,23937925,24398151,24300916,25393042,24947136,24314595,24801297,24510601,24868735,25250035,25792695,25302004,24959269,25167425,25049953,25756791,25742152,25652000,25789000,25916000,26279000
China,CPR,36.6094323800447,103.865365256658,98144591,97989324,99074542,99083118,98909279,99006017,98027681,95926662,94766752,92732509,91559063,91355379,91036459,91160528,90136792,88310539,85805617,86869594,88194070,88712979,89385787,89700000,90747000,90915000,91146000
Eastern Africa,ETH,8.65399918813263,39.5512557929378,1248290,1829717,1235833,1514742,1293148,1826453,1708918,2522573,2446220,2287199,3164212,2492799,2997065,3071902,2637006,2776740,4121138,3668831,4723425,3759932,2874262,3162527,2815474,3252407,4083901
Middle Africa,AGO,-12.2915534387057,17.5029119215871,533669,598822,517456,476285,659144,747347,826354,934752,902286,1059437,1076482,1122122,1160427,1322310,1076300,1306099,1430987,1422843,1689087,1749006,1905471,1680850,1848087,1921671,1748940
Northern Africa,EGY,26.5066199997495,29.8444615131244,9138613,10870135,10721424,8251948,10984839,9323175,8735764,11539715,9624066,12557446,8165686,8844391,11000792,8528761,10701989,12059376,9397414,11574185,11240644,9160106,7495255,10127919,6748191,17321944,11245273
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,1101251,713998,864720,1011677,312741,499630,446009,627399,-130484,592351,692546,1186863,1283329,1024596,1181561,1425121,1320047,1401940,1910640,1694792,1191748,1849685,2907089,1510754,2239339
Western Africa,NGA,9.54831841820997,7.99512775408979,2393845,1915927,1949266,2072610,2478496,3477193,3057170,3735612,3676994,4124359,3859819,4193105,5699097,5334771,5039419,4892509,6074152,6289325,6224686,5596468,6462955,7491171,7512104,7961909,5907433
Central America,MEX,23.9353719022448,-102.576349523987,2424894,2523997,1827413,2576491,2324581,3200585,3019745,2852813,3355057,3250688,3869564,4102871,3522816,3174085,3099261,2648430,2625646,3283170,3444673,3858927,4024694,3613319,3564484,3604118,3491605
Eastern Asia,JPN,36.019075365944,136.881947315984,7610234,9057584,6112083,6973050,7822052,7783399,8198349,8330944,7517376,7826305,7829152,7758336,7354977,7473569,7349844,7011158,5825182,7365357,7163647,7695934,7974543,8166896,8351668,8381442,8372011
Southern Asia,IRN,32.5189173176254,54.2854514968914,1199169,557053,930510,1962844,3278366,799213,5370263,5943952,6068080,2426929,442643,-728952,-618045,-320914,-727269,4490272,7056693,2673485,1779863,4997836,4817664,-512277,3529287,1637331,2853742
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,5914414,7051307,7825976,7542639,7558599,6895079,7050401,8592395,7598944,9912270,7866514,10341814,9954700,10759144,10213882,7999351,9923563,10359750,11362479,12007410,11573914,12159297,11402419,9039062,10157429
Western Asia,IRQ,33.0368223410367,43.7569114187134,-4768779,-7226173,-5642418,-3574033,-560430,-1314285,-1169867,-2785461,-5280087,-5023148,-5185242,-4558517,-4616159,-4000916,-419946,3913657,1970772,126522,3111455,4387689,1689366,-3605132,-2670841,2810546,-2328305
Southern Europe,ITA,43.472476107586,12.2194764873985,-3362164,-3623978,-1234125,-1695599,-1679392,-1829798,-1976290,-2690770,-1227359,1069427,-1570515,-2926204,1103933,183729,-2258945,-2159913,951860,-74441,-954128,-691307,-4888653,-976106,-1172530,-7922540,1881785

