Area,ISO3.Code,LAT,LON,markets,commodities,GatherMonth,Value.1993,Value.1993,Value.1994,Value.1995,Value.1996,Value.1997,Value.1998,Value.1999,Value.2000,Value.2001,Value.2002,Value.2003,Value.2004,Value.2005,Value.2006,Value.2007,Value.2008,Value.2009,Value.2010,Value.2011,Value.2012,Value.2013,Value.2014,Value.2015,Value.2016,Value.2017
Northern America,CAN,57.7487688035733,-101.569822125212,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South America,ARG,-35.2201719959357,-65.149543390921,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Asia,KAZ,48.1916620924959,67.2846086074656,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,UKR,48.9730179682021,31.3695330803563,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Europe,GBR,53.8833587148482,-2.65799297938563,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Europe,FRA,46.6064633728632,2.33908864602935,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,AUS,-25.5607640622395,134.376078573618,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,RUS,61.6925647074082,99.2165267869251,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,22.9250064074085,79.5937037632538,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,PAK,29.9734600255474,69.4139980631813,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,USA,39.5015541259931,-99.0602406280213,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,CPR,36.6094323800447,103.865365256658,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

