,2012,2013,2014,2015,2016
Eastern Africa,0,-0.20883586678016,-0.136201482469464,0.140755290078377,0.0308118887384779
Middle Africa,0,-0.0415181811839532,-0.218334994337823,0.259133329914279,0.0540373959331059
Northern Africa,0,2.45810375914052,0.0993861110736977,0.184164787097553,0.0640258364637874
Southern Africa,0,-0.0626164619696586,-0.325280129857677,0.384079596986859,0.0920098363409864
Western Africa,0,-0.05224123112996,-0.162423150824244,0.211722627119304,0.0554176726581439
Central America,0,0.812057113931663,-0.12669201879767,0.262608329475118,0.0515686109891315
Eastern Asia,0,-0.104054408026126,-0.7156075212753,0.812631198850205,0.177493983412617
Southern Asia,0,-2.73776946407548,-0.393800181926897,0.171081118878613,0.0408723560602173
South-Eastern Asia,0,-0.0488788362325282,-0.357722640238834,0.403497574658694,0.0833647212204453
Western Asia,0,-0.00786554638748711,-0.0412771447993501,0.0485891805420883,0.0114603236146574
Southern Europe,0,-0.0221088628109787,-0.0687462216587543,0.0896122252956917,0.0230692350290781
