,2012,2013,2014,2015,2016
Eastern Africa,0,1.29056363303966,2.78731747147253,4.10064818918922,0.654098685757551
Middle Africa,0,1.72335736934624,3.54383481154561,3.90724425731488,1.0836129126006
Northern Africa,0,2.61760007822541,6.18313670262984,3.20567400891519,1.00110424764591
Southern Africa,0,0.270715865320635,-0.615404322125757,5.05052197051734,2.4126391063387
Western Africa,0,1.60268768252681,4.64575044158957,4.22126526848691,0.953669489029778
Central America,0,0.777082627040912,4.78012856211143,6.13221059952678,1.82260443938862
Eastern Asia,0,0.45703930747739,-1.27579302148545,3.56608185464449,2.5329558489863
Southern Asia,0,0.722560521041791,4.13467797205744,3.60961272822343,0.970200482920269
South-Eastern Asia,0,0.501114197495766,-9.92365299538926,5.01732116015938,4.64288772754552
Western Asia,0,2.12523488060225,5.30839537614119,3.58364699546487,1.16114695452952
Southern Europe,0,1.60975601826122,5.8418993900715,3.92901167653828,1.25830180258897
