,2012,2013,2014,2015,2016
Eastern Africa,0,1.03587483139045,7.48212946344,3.44916619803213,-2.38619704049757
Middle Africa,0,1.08641443889864,5.82911338434518,3.42729132681857,-2.65430374732513
Northern Africa,0,1.41529354200668,5.0662807631611,3.20018232013597,-1.70500887012462
Southern Africa,0,2.07764268135267,12.3609170737577,2.14625991503476,-4.45622740889693
Western Africa,0,1.03475773697452,4.74715495002074,4.29418374123146,-1.56424224811966
Central America,0,1.05314055820046,5.81878153795251,5.91750143574892,-2.76441325347139
Eastern Asia,0,0.815270230413524,11.2724798406164,3.91882797379851,-4.9181483575542
Southern Asia,0,0.987229971793459,5.67452428689147,2.93862154565634,-2.10060325011636
South-Eastern Asia,0,1.08778005293731,27.2464794640663,-0.059674493410971,-9.83016616027327
Western Asia,0,1.27178728195315,4.16157078821488,3.65835663600311,-2.31138451177066
Southern Europe,0,0.98765127030101,4.97950822671266,4.04896198315934,-0.481306671965274
