"areas.names.in.sim.input.files","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Northern America",9365953,7506247,8429671,7895909,7128836,6941188,8600140,6910986,7369039,7617309,7401568,9325633,7846185,8279797,7007772,5819911,6448087,6003424,7825992,7548715,9185735,11396902,11139264,13052796
"South America",20338635,19476994,22955588,20012259,19861796,17996728,22100477,19565955,22548317,21062644,23611422,23840315,22783025,24853664,26775635,22172031,22358799,24351452,26704882,23667335,29106801,26824104,23718468,28294292
"Central Asia",15214574,13401296,14452689,13053681,13049387,10575470,13620884,12662886,13977340,14989891,16970930,17680760,18440441,20583092,22334078,17385519,19051081,19731573,22791691,18750585,22548797,17865042,18252288,20496412
"Eastern Europe",46080352,44999129,47428167,38050046,39316387,35228889,40238486,34437017,40980510,38156095,32038569,41931621,37979295,36326615,40881996,37260915,31925275,36008917,40625484,33371329,40426230,35518739,34500776,34449120
"Northern Europe",19461694,19437298,21875610,20467235,21670565,19286503,24218693,22168636,23622604,23021096,24290105,25273268,24516762,25805548,27248676,22468608,22326762,24379199,26277535,23675691,27102227,26259862,24956164,27099160
"Western Europe",35216960,35803439,43349514,38046933,37170789,36093679,41957333,41399116,46582459,44435322,43061883,46770893,49679498,53558253,51994604,47031485,46377491,45742178,51627531,44068273,52801320,50563554,48099588,51519962
"Oceania",4675813,3858022,5234511,3966403,4496666,4179980,5446601,4942590,5513867,5774738,6485591,6869622,7246557,8369759,7985003,7321241,5483304,7623602,7109196,7076790,8347275,8380075,7464388,8425986
"Russian Federation",50181291,35449319,37575293,36287649,35442551,31666225,36053466,33822785,46002568,33607233,31652656,43625715,36618557,37815038,37847154,45929611,39314063,28431276,33744709,27680146,37761943,36171451,39022840,44263658
"India",61076249,58192698,68974287,58786511,63109303,57926281,71885701,68278772,71317321,67812404,69392499,72783247,66423657,76741806,84723597,71574653,70104157,77862664,84025782,75058468,93975209,87317924,82763464,91824618
"Pakistan",18841703,18300737,19991812,17849910,19167968,17485426,21501966,19575590,19684175,18258860,19754723,20948492,20200563,22911860,23390797,19560372,20556174,21913498,24445671,22202496,26518344,24647742,23031584,25490720
"United States of America",34137413,34003566,35405381,33229431,31908852,31652890,35754397,32870797,31962785,27818506,32242373,32375315,30248769,31739370,31330580,29979651,28185627,29074227,32674950,34869075,37047167,33632362,32679648,37112208
"China",117449173,109491274,123446054,108033544,109334763,96855023,117368556,103974552,111526533,102758209,107283350,107895310,101533437,109628117,116355710,94020765,94901029,105220238,128735588,115808460,138127932,126828626,124668980,140175546
"Eastern Africa",3045796,3516853,3201632,3571311,3231818,3653505,3854157,4406217,5017022,4569794,5866109,5359935,6413561,6652453,6814171,6119820,8849862,9039788,10562016,9479169,10364733,10797739,10726820,11774313
"Middle Africa",589254,615417,594965,484806,669676,673684,893135,903475,944501,1038478,1122109,1215789,1185523,1439941,1245812,1224174,1327580,1414245,1811752,1704540,2164353,1735202,1834986,2117218
"Northern Africa",22542861,26006631,25412672,29193799,25150889,26465605,25044251,24554440,27499021,28661064,30562546,32253196,31841608,37286777,34836045,33756545,37902264,37082597,43286619,37082910,43897029,41708294,41896983,49432013
"Southern Africa",3327606,2728222,3125354,3907013,2906232,2472052,2379442,3175925,2600680,3177729,2412473,3085812,3348471,3346541,3395636,3562664,3278833,2938448,4157862,3664549,3380932,3781274,4335078,3700388
"Western Africa",2639021,1988860,2247134,2106871,2553633,3209877,3404180,3676515,3882524,4086344,4066020,4570914,5819460,5844628,5815784,4629161,5718639,6333373,6870329,5569332,7465272,7628593,7265957,8401500
"Central America",8169776,8374122,7089533,7803642,7813442,8000935,8751336,8541518,9522227,8648324,8733801,8812112,9277624,9491203,9694405,8322350,8260811,9618898,10129489,9868224,10553222,9772510,9927543,10566496
"Eastern Asia",12775050,13098539,9875465,9073643,10452288,10051931,11677875,10053913,10920560,10879475,10791879,11225226,10601247,10926220,11122647,9315036,9478465,10951516,13117569,12891946,13907801,12184665,11832739,13139718
"Southern Asia",19402337,18774487,21611572,20582559,23171891,22305552,24125071,21841798,24683496,25401639,24993058,23542497,25096979,25472543,27213189,19404640,29890738,25762520,20517952,25328938,27321963,24341058,28706908,31133344
"South-Eastern Asia",6773273,7454297,9157351,7828874,7829091,6489791,8160758,8762615,8831779,10909149,9369006,12721193,11397166,13116230,13064126,8640149,11166773,12734266,15449962,15751808,16147418,15690820,16034292,17770373
"Western Asia",33271680,26584159,28089203,30219325,33036436,35199110,31788991,34644186,33913070,37740752,36685089,39833176,38754330,37335207,37637210,36852734,40386158,38291665,46247185,44442163,47337843,38331052,38649169,43372700
"Southern Europe",25039490,24420999,25338265,25453339,27046513,28913039,27276100,28338216,28082921,32473243,26593468,33397990,31012254,30458706,28739617,30503035,28118664,27810156,29609243,28628164,28765930,29355140,28935976,26603926
