"areas.names.in.sim.input.files","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Northern America",-17889947,-15413253,-16559729,-21905491,-17170564,-17141112,-18359760,-19624514,-13261161,-8343991,-15647032,-15469867,-17901915,-16985603,-13082628,-22799289,-20501813,-17296176,-17462008,-19697285,-28403365,-18045198,-16508136,-19087104
"South America",5659595,5175769,7687620,4426341,-1678086,-2211786,4898246,-26542,238710,-453626,1979844,8245,-1562042,6800096,5096680,-3530589,4762849,3909719,190544,-612557,10894154,7250909,17912,5537003
"Central Asia",1171874,1464596,3978189,977581,-1567582,-727255,-4358059,-3230079,-5910884,-6926221,-4353030,-1993386,-3217632,-3717326,-2764039,-3701227,-8191586,25109,-9162272,-255862,-1600722,-4728901,-5466306,-4602438
"Eastern Europe",-2525823,1973530,-706163,244520,-10885300,-9902833,931105,-2202936,-14988503,-11711987,440922,-12050798,-13382648,-4500263,2083644,-25125982,-20960890,-11732199,-16205710,-12605712,-18692667,-29959198,-32469655,-33696274
"Northern Europe",-2100876,-857141,-819472,-5283234,-3446372,-6267212,830546,-5001112,1828856,-2678620,-589314,-1705566,-1798946,811536,2798130,-7267543,-5301354,-2453936,-1421448,-3292809,2826323,-6094247,-9444466,-2463174
"Western Europe",-13888292,-15527540,-9896735,-21893350,-21235687,-28744012,-18900189,-22351635,-12316702,-20072937,-11144682,-23821777,-15898518,-9095271,-6205971,-23516551,-22627722,-21592641,-12422813,-21233686,-16176329,-21902789,-26863423,-7103875
"Oceania",-12022917,-5345022,-11514760,-20012694,-15044385,-18230199,-19630406,-17491420,-19149170,-4658770,-19966928,-15354498,-18245404,-2713686,-5928829,-14442302,-16576168,-14959299,-20684154,-23316843,-14956114,-17336459,-16691725,-14307897
"Russian Federation",6634741,3321109,7456823,1456417,-8792581,4671525,5056513,-637267,-993726,-17014873,-2417132,-1807946,-10996124,-7111842,-11520819,-17835529,-22425688,-13076305,-22495285,-10039494,-14328854,-23539931,-22762959,-29082021
"India",3866149,-1647302,3206887,-3310889,-6240897,-8418719,598197,-8090124,1636425,-4953900,3631699,627047,-2213239,7387310,8916893,-6995547,-10575243,-2940936,-2848218,-19821532,465209,-8532076,-3766536,-465382
"Pakistan",2685203,3087737,2989412,942510,2517468,-1208574,3644366,-1503010,660475,32360,571423,1448692,-1411737,1634960,96197,-1398428,-3476826,-1397302,-768129,-1270904,2306984,-1331657,-2054590,-142308
"United States of America",-31084587,-29164434,-23998619,-28752569,-35627148,-37674110,-26812887,-27768579,-21037147,-15885462,-31560883,-26321725,-26993223,-17476670,-24489780,-38036445,-32180101,-30988181,-21743858,-26808309,-21057443,-21514758,-23159892,-25719299
"China",11054252,10189834,21234625,-2535649,-13955322,-12871043,3488468,4338425,17653299,12467947,20795086,15943072,4088241,1161846,7057414,-18443527,-20214335,-9965940,11321554,-5221599,16197405,613415,-7977355,6898455
"Eastern Africa",1492654,1968811,1570615,1648421,1440219,1753631,2016932,2577648,2714862,2421879,3479691,2904345,3314710,3569818,3575565,3215970,5175813,5319849,6900217,5091573,5470388,5855266,5416294,6634720
"Middle Africa",573931,598637,575947,466265,649669,651913,875054,886789,928173,1021389,1106123,1202620,1168621,1424706,1223976,1202558,1308988,1398806,1796238,1682360,2150495,1723052,1823073,2104889
"Northern Africa",13129143,14234802,16003801,11891388,14640451,11635454,13382069,14668326,14342845,16381513,13165162,14522801,16075140,17974257,21205652,19289011,17654427,21066641,23887282,18929896,22763307,23170213,19668174,33311957
"Southern Africa",1328743,868087,1129747,1157020,436987,544207,626554,728116,38990,702591,832914,1373740,1418124,1222076,1474120,1413870,1300545,1474482,2115941,1723833,1481740,2007959,2877167,1775142
"Western Africa",2599411,1943506,2193942,2054642,2483913,3092230,3282442,3585865,3815389,4021799,3998219,4492936,5739155,5756693,5754199,4550220,5613913,6205303,6667308,5420055,7345492,7482764,7155061,8285409
"Central America",4562217,4196348,3594410,4404015,4132848,4750222,5721251,5037732,6239492,5408404,6014171,6485624,6258401,6110414,6176049,4299991,4141976,5939614,6499375,6591198,7193173,6099829,6215027,6701614
"Eastern Asia",11562567,12084683,9039903,8269338,9534055,9120814,10825449,9174652,9955253,9777777,9604606,10041681,9452450,9756453,9900636,8038647,8228361,9835642,11764703,11457838,12633661,10774561,10543407,11804160
"Southern Asia",4782365,3815035,6112036,5868316,7870075,4692887,9938394,9257162,10792513,7396770,5217828,3939254,4093276,5307572,4581562,7359770,10536321,6624630,5727824,8616401,9860826,5200781,9184195,8898675
"South-Eastern Asia",6665633,7365897,9080012,7742764,7737641,6396964,8044666,8669715,8736678,10802628,9245723,12570282,11240014,12975030,12907812,8468704,10986510,12552159,15279047,15573208,15963018,15507117,15853711,17666435
"Western Asia",2352510,9012,1579599,3594366,6738469,5547938,6687349,6514642,4634368,5721430,5459240,7171935,5186370,5495286,9400083,11305511,10357681,9410498,14117424,14001928,14396317,9190920,7563328,13952246
"Southern Europe",4267422,3704527,6566100,5837751,8330120,7686618,8552259,6997477,9991698,11564239,9541443,10628966,13563193,12143550,9854786,8658520,10499973,9853519,10397048,9548510,7125403,10111034,9594446,4124386
